School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Community of Learning: ID,Community of Learning: Name,Longitude,Latitude,Decile,Total School Roll,European / Pakeha,Maori,Pasifika,Asian,MELAA,Other,International
58,Tangaroa College,09 274 5764,09 274 6371,office@tangaroa.school.nz,Davida White,http://www.tangaroa.school.nz,Haumia Way,Otara,Auckland,P O Box 61476,Otara,Manukau,2159,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Otara-Papatoetoe,Auckland Region,Auckland,Auckland,Botany,Tamaki Makaurau,Rongomai,Manukau Ward,99200,Tangaroa Kahui Ako,174.892909,-36.972904,1,830,29,162,620,9,4,3,3
59,Sacred Heart College (Auckland),09 529 3660,09 529 3661,office@sacredheart.school.nz,James Dale,http://www.sacredheart.school.nz,250 West Tamaki Road,Glendowie,Auckland,250 West Tamaki Road,Glendowie,Auckland,1071,Main Urban Area,Secondary (Year 7-15),School with Boarding Facilities,State : Integrated,Single Sex (Boys School),Auckland - Orakei,Auckland Region,Auckland,Auckland,Tamaki,Tamaki Makaurau,Glen Innes North,Orakei Ward,,,174.872413,-36.868894,8,1297,763,132,188,110,28,3,73
60,Saint Kentigern Girls' School,09 520 1400,09 524 7657,skg_admin@saintkentigern.com,Juliet Small,http://www.saintkentigern.com,514 Remuera Road,Remuera,Auckland,P O Box 28399,Remuera,Auckland,1541,Main Urban Area,Full Primary,Not Applicable,Private : Fully Registered,Single Sex (Girls School),Auckland - Orakei,Auckland Region,Auckland,Auckland,Epsom,Tamaki Makaurau,Waiata,Orakei Ward,,,174.805238,-36.880973,99,174,106,7,6,52,0,0,3
61,Baradene College,09 524 6019,09 522 4077,admin@baradene.school.nz,Sandy Pasley,http://www.baradene.school.nz,237 Victoria Avenue,Remuera,Auckland,P O Box 28906,Remuera,Auckland,1541,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Girls School),Auckland - Orakei,Auckland Region,Auckland,Auckland,Epsom,Tamaki Makaurau,Orakei South,Orakei Ward,,,174.800324,-36.865643,9,1276,929,84,66,118,20,5,54
62,St Peter's College (Epsom),09 524 8108,09 524 9459,admin@st-peters.school.nz,James Bentley,http://www.st-peters.school.nz,Mountain Road,Grafton,Auckland,23 Mountain Road,Epsom,Auckland,1023,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Boys School),Auckland - Waitemata,Auckland Region,Auckland,Auckland,Epsom,Tamaki Makaurau,Grafton East,Waitemata and Gulf Ward,99030,Auckland Central Catholic Community of Schools,174.769672,-36.867787,8,1348,700,146,233,179,16,8,66
63,Marcellin College,09 625 6509,09 625 7835,office@marcellin.school.nz,Jan Waelen,http://www.marcellin.school.nz,617 Mt Albert Road,Royal Oak,Auckland,P O Box 24126,Royal Oak,Auckland,1345,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Co-Educational,Auckland - Puketapapa,Auckland Region,Auckland,Auckland,Mt Roskill,Tamaki Makaurau,Hillsborough East,Albert-Eden-Roskill Ward,99190,Te Iti Kahurangi Community of Learning,174.766435,-36.91013,2,494,20,40,299,119,13,0,3
64,Epsom Girls Grammar School,09 630 5963,09 638 9143,office@eggs.school.nz,Lorraine Pound,http://www.eggs.school.nz,Silver Road,Epsom,Auckland,Silver Road,Epsom,Auckland,1023,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Single Sex (Girls School),Auckland - Albert-Eden,Auckland Region,Auckland,Auckland,Epsom,Tamaki Makaurau,Epsom North,Albert-Eden-Roskill Ward,99001,Auckland Central Community of Schools,174.774123,-36.876429,9,2209,852,185,194,772,76,4,126
65,Glendowie College,09 575 9128,09 575 4460,info@gdc.school.nz,Richard Dykes,http://www.gdc.school.nz,Crossfield Road,Glendowie,Auckland,19 Crossfield Road,Glendowie,Auckland,1071,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Orakei,Auckland Region,Auckland,Auckland,Tamaki,Tamaki Makaurau,Glen Innes North,Orakei Ward,99096,Glendowie Kahui Ako,174.868137,-36.862578,10,1218,732,64,41,211,46,49,75
66,Dilworth School,09 523 1060,09 520 6183,info@dilworth.school.nz,Donald MacLean,http://www.dilworth.school.nz/,2 Erin Street,Remuera,Auckland,Private Bag 28904,Remuera,Auckland,1541,Main Urban Area,Composite,School with Boarding Facilities,Private : Fully Registered,Single Sex (Boys School),Auckland - Albert-Eden,Auckland Region,Auckland,Auckland,Epsom,Tamaki Makaurau,Mt St John,Albert-Eden-Roskill Ward,,,174.781062,-36.880302,4,607,162,145,249,38,11,2,0
67,Diocesan School For Girls,09 520 0221,09 520 6778,office@diocesan.school.nz,Heather McRae,http://www.diocesan.school.nz,Clyde Street,Epsom,Auckland,Private Bag 99939,Newmarket,Auckland,1149,Main Urban Area,Composite,School with Boarding Facilities,Private : Fully Registered,Single Sex (Girls School),Auckland - Albert-Eden,Auckland Region,Auckland,Auckland,Epsom,Tamaki Makaurau,Mt St John,Albert-Eden-Roskill Ward,,,174.778296,-36.880477,10,1428,975,45,25,317,11,7,48
68,St Cuthbert's College (Epsom),09 520 4159,09 524 9374,reception@stcuthberts.school.nz,Justine Mahon,http://www.stcuthberts.school.nz,Market Road,Epsom,Auckland,P O Box 26020,Epsom,Auckland,1344,Main Urban Area,Composite,School with Boarding Facilities,Private : Fully Registered,Single Sex (Girls School),Auckland - Albert-Eden,Auckland Region,Auckland,Auckland,Epsom,Tamaki Makaurau,Mt St John,Albert-Eden-Roskill Ward,,,174.77825,-36.887581,10,1283,622,57,60,474,12,8,50
69,Mt Albert Grammar School,09 846 2044,09 846 2042,headmaster@mags.school.nz,Patrick Drumm,http://www.mags.school.nz,36 Alberton Ave,Mount Albert,Auckland,36 Alberton Avenue,Mount Albert,Auckland,1025,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Co-Educational,Auckland - Albert-Eden,Auckland Region,Auckland,Auckland,Mt Albert,Tamaki Makaurau,Mt Albert Central,Albert-Eden-Roskill Ward,99150,Mt Albert Community of Learning,174.725348,-36.884707,7,3053,1201,411,596,518,97,57,173
70,Marist College,09 846 8311,09 815 1441,admin@maristcollege.school.nz,Monica Johnson,http://www.maristcollege.school.nz,31 Alberton Avenue,Mount Albert,Auckland,31 Alberton Avenue,Mount Albert,Auckland,1025,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Girls School),Auckland - Albert-Eden,Auckland Region,Auckland,Auckland,Mt Albert,Tamaki Makaurau,Mt Albert Central,Albert-Eden-Roskill Ward,99030,Auckland Central Catholic Community of Schools,174.726132,-36.881938,7,746,331,70,157,171,9,1,7
74,Mt Roskill Grammar,09 621 0050,09 621 0055,admin@mrgs.school.nz,Gregory Watson,http://www.mrgs.school.nz,Frost Road,Mount Roskill,Auckland,Frost Road,Mount Roskill,Auckland,1041,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Puketapapa,Auckland Region,Auckland,Auckland,Mt Roskill,Tamaki Makaurau,Akarana,Albert-Eden-Roskill Ward,99032,Puketapapa Community of Learning,174.747139,-36.912708,4,2002,246,139,446,943,111,5,112
75,Lynfield College,09 627 0600,09 627 0609,admin@lynfield.school.nz,Cath Knell,http://www.lynfield.school.nz,White Swan Road,Mount Roskill,Auckland,191 White Swan Road,Mount Roskill,Auckland,1041,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Puketapapa,Auckland Region,Auckland,Auckland,New Lynn,Tamaki Makaurau,Lynfield North,Albert-Eden-Roskill Ward,99012,Lynfield Community of Learning,174.715436,-36.921035,6,1781,343,134,258,873,89,4,80
77,Bethlehem College,07 576 6769,07 579 1751,principal@beth.school.nz,Eoin Crosbie,http://www.beth.school.nz,Elder Lane,Bethlehem,Tauranga,Private Bag 12003,Tauranga Mail Centre,Tauranga,3143,Main Urban Area,Composite,Not Applicable,State : Integrated,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Tauranga,Waiariki,Bethlehem,Otumoetai-Pyes Pa Ward,99157,Nga Whanau O Karaiti Kahui Ako,176.11123,-37.704974,9,1736,1195,128,31,223,66,20,73
78,Avondale College,09 828 7024,09 820 0183,admin@avcol.school.nz,Brent Lewis,http://www.avcol.school.nz,Victor Street,Avondale,Auckland,59 Victor Street,Avondale,Auckland,1026,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Whau,Auckland Region,Auckland,Auckland,Kelston,Tamaki Makaurau,Avondale West,Whau Ward,,,174.691137,-36.891482,4,2809,614,296,688,824,173,39,175
79,Edgewater College,09 576 9039,09 576 9037,enquiries@edgewater.school.nz,Allan Vester,http://www.edgewater.school.nz,32 Edgewater Drive,Pakuranga,Auckland,32 Edgewater Drive,Pakuranga,Manukau,2010,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Pakuranga,Tamaki Makaurau,Edgewater,Howick Ward,99098,Pakuranga West Community of Learning,174.874745,-36.922506,2,593,46,119,266,91,29,3,39
80,Pakuranga College,09 534 7159,09 534 2365,info@pakuranga.school.nz,Michael Williams,http://www.pakuranga.school.nz,Pigeon Mountain Road,Bucklands Beach,Auckland,P O Box 82090,Highland Park,Auckland,2143,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Pakuranga,Tamaki Makaurau,Pigeon Mountain North,Howick Ward,99149,Te ara Mana-a-Kura (Farm Cove/Pakuranga) Community of Learning,174.90177,-36.897629,7,2229,872,216,154,653,132,17,185
81,St Kentigern College (Pakuranga),09 577 0749,09 577 0700,skc_admin@saintkentigern.com,Suzanne Winthrop,http://www.saintkentigern.com,130 Pakuranga Road,Pakuranga,Auckland,P O Box 51060,,Auckland,2140,Main Urban Area,Secondary (Year 7-15),School with Boarding Facilities,Private : Fully Registered,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Pakuranga,Tamaki Makaurau,Sunnyhills,Howick Ward,,,174.875034,-36.909712,10,2026,1387,115,70,403,10,12,29
82,Aidanfield Christian School,03 338 8153,03 339 0821,enrol@aidanfield.school.nz,Mark Richardson,http://www.aidanfield.school.nz/,2 Nash Road,Aidanfield,Christchurch,2 Nash Road,Aidanfield,Christchurch,8025,Main Urban Area,Composite,Not Applicable,State : Integrated,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Aidanfield,Halswell Ward,99173,Christian Education Network Community of Learning,172.571,-43.563771,8,303,158,14,10,81,22,3,15
83,Kelston Boys' High School,09 818 6185,09 818 6183,data.manager@kbhs.school.nz,Adeline Blair (Acting),http://www.kbhs.school.nz,Archibald Road,New Lynn,Auckland,P O Box 15103,New Lynn,Waitakere,640,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Single Sex (Boys School),Auckland - Whau,Auckland Region,Auckland,Auckland,Kelston,Tamaki Makaurau,Kelston Central,Whau Ward,99011,Te Whanau Matauranga o Kerehana Community of Learning,174.666886,-36.898785,3,670,43,125,418,53,13,2,16
84,Kelston Girls' College,09 827 6063,09 827 3996,reception@kelstongirls.school.nz,Linda Fox ,http://www.kelstongirls.school.nz,Great North Road,New Lynn,Auckland,P O Box 15798,New Lynn,Waitakere,640,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Single Sex (Girls School),Auckland - Whau,Auckland Region,Auckland,Auckland,Kelston,Tamaki Makaurau,Kelston Central,Whau Ward,99011,Te Whanau Matauranga o Kerehana Community of Learning,174.664361,-36.908063,2,471,17,83,279,61,24,2,5
85,One Tree Hill College,09 579 5049,09 579 5047,office@onetreehillcollege.school.nz,Nicholas Coughlan,http://www.onetreehillcollege.school.nz,421 Great South Road,Penrose,Auckland,P O Box 17471,Greenlane,Auckland,1546,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Maungakiekie-Tamaki,Auckland Region,Auckland,Auckland,Maungakiekie,Tamaki Makaurau,Penrose,Maungakiekie-Tamaki Ward,99014,Maungakiekie Community of Learning,174.806959,-36.902825,3,1144,154,215,427,284,33,2,29
86,Onehunga High School,09 636 6006,09 636 4465,ps@ohs.school.nz,Deidre Shea,http://www.onehungahigh.school.nz,24 Pleasant Street,Onehunga,Auckland,24 Pleasant Street,Onehunga,Auckland,1061,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Maungakiekie-Tamaki,Auckland Region,Auckland,Auckland,Maungakiekie,Tamaki Makaurau,Onehunga South West,Maungakiekie-Tamaki Ward,99190,Te Iti Kahurangi Community of Learning,174.770962,-36.919501,3,1024,143,214,511,119,10,4,23
87,Howick College,09 534 4492,09 534 6574,secretary@howick.school.nz,Iva Ropati,http://www.howickcollege.school.nz,Sandspit Road,Howick South,Auckland,P O Box 38142,Howick,Manukau,2145,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Botany,Tamaki Makaurau,Meadowland,Howick Ward,99119,Howick Coast Kahui Ako,174.939278,-36.90657,8,2160,1115,271,188,367,113,10,96
88,Otahuhu College,09 963 4000,09 276 2906,enquiries@otahuhucollege.school.nz,Neil Watson,http://www.otahuhucollege.school.nz,Mangere Road,Otahuhu,Auckland,Private Bag 93317,Otahuhu,Auckland,1640,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Auckland,Manukau East,Tamaki Makaurau,Otahuhu West,Manukau Ward,99151,Otahuhu Community of Learning,174.840645,-36.953117,1,944,10,123,661,144,5,1,0
89,King's College,09 276 0600,09 276 0670,reception@kingscollege.school.nz,Simon Lamb,http://www.kingscollege.school.nz,Golf Avenue,Otahuhu,Auckland,P O Box 22012,Otahuhu,Auckland,1640,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,Private : Fully Registered,Senior Co-ed; Junior Boys,Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Auckland,Manukau East,Tamaki Makaurau,Otahuhu West,Manukau Ward,,,174.837266,-36.959802,10,1076,624,88,80,214,8,9,53
90,McAuley High School,09 276 8715,09 276 4800,office@mcauleyhigh.school.nz,Xanthe Sulzberger,http://www.mcauleyhigh.school.nz/,26 High Street,Otahuhu,Auckland,P O Box 22480,Otahuhu,Auckland,1640,Main Urban Area,Secondary (Year 9-15),Not Applicable,State : Integrated,Single Sex (Girls School),Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Auckland,Manukau East,Tamaki Makaurau,Fairburn,Manukau Ward,99101,South Auckland Catholic Community of Learning,174.847352,-36.944408,1,792,8,45,690,35,14,0,0
91,Mangere College,09 275 4029,09 275 5275,enquiries@mangere.school.nz,Tom Webb,http://www.mangere.school.nz,23 Bader Drive,Mangere,Auckland,P O Box 43240,,Auckland,2153,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Auckland,Mangere,Tamaki Makaurau,Viscount,Manukau Ward,99123,Mangere Kahui Ako,174.791588,-36.959618,1,730,7,154,538,14,3,14,0
93,Auckland Seventh-Day Adventist H S,09 275 9640,09 275 5380,joanne@asdah.school.nz,Gloria Teulilo,http://www.asdah.school.nz/,119 Mountain Road,Mangere Bridge,Auckland,P O Box 59047,Mangere Bridge,Manukau,2022,Main Urban Area,Secondary (Year 9-15),Not Applicable,State : Integrated,Co-Educational,Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Auckland,Mangere,Tamaki Makaurau,Mangere Bridge,Manukau Ward,99123,Mangere Kahui Ako,174.785002,-36.956393,1,220,0,18,193,8,0,1,0
94,De La Salle College,09 276 4319,09 276 7992,admin@delasalle.school.nz,Myles Hogarty,http://www.delasalle.school.nz,81 Gray Avenue,Mangere East,Auckland,P O Box 86001,Mangere East,Manukau,2158,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Single Sex (Boys School),Auckland - Otara-Papatoetoe,Auckland Region,Auckland,Auckland,Mangere,Tamaki Makaurau,Mangere East,Manukau Ward,99101,South Auckland Catholic Community of Learning,174.837763,-36.964806,1,994,2,79,873,33,4,2,1
95,Papatoetoe High School,09 278 4086,09 278 5043,office@papatoetoehigh.school.nz,Vaughan Couillault,http://www.papatoetoehigh.school.nz,Nicholson Avenue,Papatoetoe,Auckland,P O Box 23088,Hunters Corner,Manukau,2155,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Otara-Papatoetoe,Auckland Region,Auckland,Auckland,Manukau East,Tamaki Makaurau,Papatoetoe East,Manukau Ward,99198,Papatoetoe Community of Learning | Kahui Ako,174.871805,-36.975523,3,1456,42,234,408,713,26,1,32
96,Aorere College,09 278 5608,09 279 0640,office@aorere.ac.nz,Gregory Pierce,http://www.aorere.ac.nz/,Portage Road,Papatoetoe,Auckland,P O Box 23084,Hunters Corner,Manukau,2155,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Otara-Papatoetoe,Auckland Region,Auckland,Auckland,Manukau East,Tamaki Makaurau,Kohuora,Manukau Ward,99102,West Papatoetoe Community of Learning,174.83308,-36.981416,2,1568,40,302,891,309,6,10,10
97,Sir Edmund Hillary Collegiate Senior School,09 274 5782,09 274 6972,office.seniorschool@sehc.school.nz,Peter Uys,http://www.sehc.school.nz,2 Franklyne Road,Otara,Auckland,P O Box 61054,Otara,Manukau,2159,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Otara-Papatoetoe,Auckland Region,Auckland,Auckland,Manukau East,Tamaki Makaurau,Otara North,Manukau Ward,99199,Sir Edmund Hillary Community of Learning,174.87553,-36.951275,1,534,0,99,424,8,0,3,0
99,Manurewa High School,09 269 0690,09 269 0691,mhs@manurewa.school.nz,Peter Jones,http://www.manurewa.school.nz,67 Browns Road,Manurewa,Auckland,P O Box 75247,Manurewa,Manukau,2243,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Manurewa,Auckland Region,Auckland,Auckland,Manurewa,Tamaki Makaurau,Wiri,Manurewa-Papakura Ward,99187,Manurewa Community of Learning,174.882302,-37.011253,1,2029,91,531,1087,279,18,13,10
100,James Cook High School,09 268 3950,09 268 3951,admin@jchs.school.nz,Grant McMillan,http://www.jchs.school.nz,Dr Pickering Avenue,Manurewa,Auckland,P O Box 75647,Manurewa,Manukau,2243,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Manurewa,Auckland Region,Auckland,Auckland,Manurewa,Tamaki Makaurau,Leabank,Manurewa-Papakura Ward,99211,South Manurewa Community of Learning,174.885978,-37.03498,1,1328,40,666,530,62,29,1,0
101,Papakura High School,09 296 4400,09 296 4401,enquiries@papakurahigh.school.nz,John Rohs,http://www.papakurahigh.school.nz,Willis Road,,Papakura,P O Box 72080,,Papakura,2244,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Papakura,Auckland Region,Auckland,Auckland,Papakura,Hauraki-Waikato,Massey Park,Manurewa-Papakura Ward,99152,Papakura Community of Learning,174.9508,-37.062945,1,642,26,409,176,24,7,0,0
102,Rosehill College,09 295 0661,09 295 0699,inquiries@rosehillcollege.school.nz,Susan Blakely,http://www.rosehillcollege.school.nz,5 Edinburgh Avenue,,Papakura,P O Box 72546,,Papakura,2244,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Papakura,Auckland Region,Auckland,Auckland,Papakura,Hauraki-Waikato,Rosehill,Manurewa-Papakura Ward,99099,Rosehill Community of Learning,174.936559,-37.076585,5,1771,763,454,195,273,44,18,24
103,Pukekohe High School,09 237 0117,09 238 6084,exec@pukekohehigh.school.nz,Ian McKinnon,http://www.pukekohehigh.school.nz,Harris Street,,Pukekohe,P O Box 306,,Pukekohe,2340,Secondary Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Franklin,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Bledisloe Park,Franklin Ward,99075,Pukekohe Community of Learning,174.905825,-37.204551,6,1740,999,394,135,144,31,7,30
104,Wesley College,09 237 0224,09 238 3582,barbaran@wesley.school.nz,Brian Evans,http://www.wesley.school.nz,State Highway 22,,Pukekohe,P O Box 58,,Pukekohe,2340,Rural Area,Secondary (Year 7-15),School with Boarding Facilities,State : Integrated,Co-Educational,Auckland - Franklin,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Kingseat,Franklin Ward,99075,Pukekohe Community of Learning,174.890163,-37.148293,1,365,5,104,246,0,0,0,10
105,Waiuku College,09 235 8139,09 235 8137,office@waiuku-college.school.nz,Thomas Van Der Laan,http://www.waiuku-college.school.nz/,Constable Road,,Waiuku,P O Box 124,,Waiuku,2341,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Auckland - Franklin,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Waiuku West,Franklin Ward,99033,Waiuku Community of Learning,174.725723,-37.251019,6,850,582,175,22,37,11,3,20
